src_ip,dst_ip,src_port,dst_port,frame_length,label
13.107137011,192.168086037,443,51353,40,0
192.168086037,13.107137011,51353,443,1480,0
13.107137011,192.168086037,443,51353,1500,0
13.107137011,192.168086037,443,51353,1404,0
192.168086037,13.107137011,51353,443,40,0
192.168086037,52.105047039,51320,443,1500,0
192.168086037,52.105047039,51320,443,1020,0
52.105047039,192.168086037,443,51320,40,0
52.105047039,192.168086037,443,51320,4420,0
52.105047039,192.168086037,443,51320,329,0
192.168086037,52.105047039,51320,443,40,0
44.209032089,192.168086037,443,51352,40,0
192.168086037,44.209032089,51352,443,40,0
192.168086021,239.255255250,1900,1900,421,0
192.168086001,239.255255250,48050,1900,418,0
192.168086001,239.255255250,48050,1900,490,0
192.168086001,239.255255250,48050,1900,427,0
192.168086001,239.255255250,48050,1900,486,0
192.168086001,239.255255250,48050,1900,480,0
192.168086001,239.255255250,48050,1900,482,0
192.168086001,239.255255250,48050,1900,498,0
192.168086021,239.255255250,1900,1900,423,0
192.168086021,239.255255250,1900,1900,411,0
192.168086021,239.255255250,1900,1900,413,0
192.168086021,239.255255250,1900,1900,366,0
192.168086021,239.255255250,1900,1900,357,0
162.159135234,192.168086037,443,51442,66,0
192.168086037,162.159135234,51442,443,70,0
162.159135234,192.168086037,443,51442,64,0
162.159135234,192.168086037,443,51442,40,0
192.168086037,162.159135234,51442,443,40,0
162.159135234,192.168086037,443,51446,66,0
192.168086037,162.159135234,51446,443,70,0
162.159135234,192.168086037,443,51446,64,0
162.159135234,192.168086037,443,51446,40,0
192.168086037,162.159135234,51446,443,40,0
192.168086037,162.159135232,51309,443,71,0
192.168086037,162.159135232,51309,443,40,0
162.159135232,192.168086037,443,51309,40,0
192.168086021,239.255255250,52017,1900,183,0
192.168086037,13.107137011,51356,443,1480,0
192.168086037,13.107137011,51356,443,1015,0
192.168086037,13.107137011,51356,443,270,0
13.107137011,192.168086037,443,51356,1500,0
13.107137011,192.168086037,443,51356,1402,0
192.168086037,13.107137011,51356,443,40,0
192.168086037,52.105047039,51320,443,1019,0
52.105047039,192.168086037,443,51320,1500,0
192.168086037,20.189173003,51472,443,52,0
20.189173003,192.168086037,443,51472,52,0
192.168086037,20.189173003,51472,443,40,0
192.168086037,20.189173003,51472,443,427,0
20.189173003,192.168086037,443,51472,139,0
192.168086037,20.189173003,51472,443,498,0
20.189173003,192.168086037,443,51472,5880,0
20.189173003,192.168086037,443,51472,598,0
192.168086037,20.189173003,51472,443,114,0
192.168086037,20.189173003,51472,443,911,0
192.168086037,20.189173003,51472,443,1480,0
192.168086037,20.189173003,51472,443,358,0
20.189173003,192.168086037,443,51472,40,0
20.189173003,192.168086037,443,51472,143,0
20.189173003,192.168086037,443,51472,486,0
192.168086035,255.255255255,58792,9999,86,0
192.168086037,140.082112026,51457,443,40,0
192.168086037,162.159135234,51449,443,40,0
162.159135234,192.168086037,443,51449,40,0
140.082112026,192.168086037,443,51457,64,0
140.082112026,192.168086037,443,51457,40,0
192.168086037,20.189173023,51473,443,52,0
20.189173023,192.168086037,443,51473,52,0
192.168086037,20.189173023,51473,443,40,0
192.168086037,20.189173023,51473,443,284,0
20.189173023,192.168086037,443,51473,2960,0
20.189173023,192.168086037,443,51473,1355,0
192.168086037,20.189173023,51473,443,198,0
20.189173023,192.168086037,443,51473,91,0
20.189173023,192.168086037,443,51473,109,0
