src_ip,dst_ip,src_port,dst_port,frame_length,label
192.168000168,162.159136234,49232,443,83,0
162.159136234,192.168000168,443,49232,72,0
192.168000168,162.159136234,49232,443,40,0
192.168000168,162.159136234,49231,443,79,0
192.168000168,162.159136234,49231,443,64,0
192.168000168,162.159136234,49231,443,40,0
162.159136234,192.168000168,443,49231,52,0
162.159136234,192.168000168,443,49231,40,0
192.168000168,162.159135232,49233,443,79,0
192.168000168,162.159135232,49233,443,64,0
192.168000168,162.159135232,49233,443,40,0
162.159135232,192.168000168,443,49233,52,0
162.159135232,192.168000168,443,49233,40,0
192.168000168,35.201103021,49235,443,79,0
192.168000168,35.201103021,49235,443,64,0
192.168000168,35.201103021,49235,443,40,0
35.201103021,192.168000168,443,49235,40,0
192.168000168,34.160144191,49236,443,79,0
192.168000168,34.160144191,49236,443,64,0
192.168000168,34.160144191,49236,443,40,0
34.160144191,192.168000168,443,49236,52,0
34.160144191,192.168000168,443,49236,40,0
192.168000168,34.120208123,49216,443,86,0
192.168000168,34.120208123,49216,443,71,0
192.168000168,34.120208123,49216,443,40,0
34.120208123,192.168000168,443,49216,52,0
34.120208123,192.168000168,443,49216,40,0
192.168000001,192.168000168,39709,137,78,0
192.168000001,192.168000168,34470,137,78,0
192.168000168,35.244181201,49221,443,86,0
35.244181201,192.168000168,443,49221,40,0
35.244181201,192.168000168,443,49221,86,0
192.168000168,35.244181201,49221,443,40,0
192.168000168,185.199111133,49249,443,79,0
192.168000168,185.199111133,49249,443,64,0
192.168000168,185.199111133,49249,443,40,0
185.199111133,192.168000168,443,49249,40,0
185.199111133,192.168000168,443,49249,64,0
192.168000168,35.244181201,49252,443,86,0
192.168000168,34.160144191,49225,443,86,0
35.244181201,192.168000168,443,49252,86,0
34.160144191,192.168000168,443,49225,86,0
192.168000168,34.160144191,49225,443,40,0
192.168000168,35.244181201,49252,443,40,0
192.168000168,35.244181201,49252,443,71,0
192.168000168,34.160144191,49225,443,71,0
34.160144191,192.168000168,443,49225,52,0
34.160144191,192.168000168,443,49225,40,0
35.244181201,192.168000168,443,49252,52,0
35.244181201,192.168000168,443,49252,40,0
162.159136234,192.168000168,443,49232,40,0
192.168000001,192.168000168,58706,137,78,0
192.168000001,192.168000168,49120,137,78,0
34.107243093,192.168000168,443,49220,64,0
192.168000168,34.107243093,49220,443,68,0
34.107243093,192.168000168,443,49220,40,0
192.168000168,192.168000001,59977,53,61,0
192.168000001,192.168000168,53,59977,351,0
192.168000168,192.168000001,53539,53,69,0
192.168000168,192.168000001,59448,53,69,0
192.168000168,172.253124136,53540,443,1385,0
192.168000001,192.168000168,53,53539,325,0
192.168000168,192.168000001,64375,53,69,0
172.253124136,192.168000168,443,53540,1385,0
192.168000168,172.253124136,53540,443,70,0
172.253124136,192.168000168,443,53540,149,0
192.168000001,192.168000168,53,59448,325,0
192.168000168,192.168000001,57861,53,69,0
192.168000168,192.168000001,54373,53,56,0
192.168000001,192.168000168,53,64375,181,0
192.168000001,192.168000168,53,57861,181,0
192.168000001,192.168000168,53,54373,107,0
192.168000168,108.177122094,49255,80,52,0
192.168000168,192.168000001,50917,53,67,0
192.168000168,172.253124136,53540,443,68,0
192.168000168,172.253124136,49256,443,52,0
192.168000001,192.168000168,53,50917,83,0
108.177122094,192.168000168,80,49255,52,0
192.168000168,108.177122094,49255,80,40,0
192.168000168,108.177122094,49255,80,462,0
192.168000168,192.168000001,58094,53,67,0
172.253124136,192.168000168,443,53540,71,0
108.177122094,192.168000168,80,49255,40,0
172.253124136,192.168000168,443,49256,52,0
192.168000168,172.253124136,49256,443,40,0
192.168000168,172.253124136,49256,443,557,0
108.177122094,192.168000168,80,49255,742,0
192.168000168,172.253124136,53540,443,136,0
192.168000168,172.253124136,53540,443,99,0
192.168000168,172.253124136,53540,443,434,0
172.253124136,192.168000168,443,49256,40,0
192.168000001,192.168000168,53,58094,95,0
172.253124136,192.168000168,443,49256,1452,0
172.253124136,192.168000168,443,49256,977,0
172.253124136,192.168000168,443,53540,643,0
172.253124136,192.168000168,443,53540,152,0
172.253124136,192.168000168,443,53540,54,0
192.168000168,172.253124136,53540,443,59,0
192.168000168,172.253124136,49256,443,104,0
192.168000168,172.253124136,49256,443,210,0
172.253124136,192.168000168,443,49256,660,0
192.168000168,172.253124136,49256,443,71,0
172.253124136,192.168000168,443,53540,59,0
172.253124136,192.168000168,443,49256,71,0
192.168000168,172.253124136,53540,443,60,0
172.253124136,192.168000168,443,53540,1381,0
172.253124136,192.168000168,443,53540,1121,0
192.168000168,172.253124136,53540,443,64,0
192.168000168,192.168000001,60007,53,76,0
172.253124136,192.168000168,443,53540,1380,0
172.253124136,192.168000168,443,53540,581,0
172.253124136,192.168000168,443,53540,861,0
172.253124136,192.168000168,443,53540,179,0
172.253124136,192.168000168,443,53540,141,0
172.253124136,192.168000168,443,53540,70,0
172.253124136,192.168000168,443,53540,146,0
172.253124136,192.168000168,443,53540,1378,0
172.253124136,192.168000168,443,53540,303,0
192.168000001,192.168000168,53,60007,151,0
192.168000168,34.120208123,49257,443,52,0
192.168000168,34.120208123,49258,443,52,0
34.120208123,192.168000168,443,49257,52,0
192.168000168,34.120208123,49257,443,40,0
192.168000168,34.120208123,49257,443,557,0
192.168000168,192.168000001,61027,53,57,0
34.120208123,192.168000168,443,49258,52,0
192.168000168,34.120208123,49258,443,40,0
192.168000168,34.120208123,49258,443,721,0
34.120208123,192.168000168,443,49257,40,0
34.120208123,192.168000168,443,49257,196,0
192.168000168,34.120208123,49257,443,91,0
192.168000168,34.120208123,49257,443,217,0
192.168000168,34.120208123,49257,443,338,0
192.168000168,34.120208123,49257,443,721,0
192.168000168,192.168000001,62084,53,66,0
34.120208123,192.168000168,443,49258,40,0
34.120208123,192.168000168,443,49258,252,0
192.168000168,34.120208123,49258,443,104,0
192.168000168,34.120208123,49258,443,227,0
192.168000168,34.120208123,49257,443,300,0
192.168000168,34.120208123,49257,443,908,0
34.120208123,192.168000168,443,49257,115,0
34.120208123,192.168000168,443,49257,78,0
192.168000168,34.120208123,49257,443,78,0
192.168000001,192.168000168,53,62084,82,0
